Id,Label,0,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,weighted degree,eigencentrality,degree,stat_inf_class
jorge s. correia-neto,jorge s. correia-neto,UFRPE,42,0,0,0,0,0.571429,16,0,0,0,364
jairo s. dornelas,jairo s. dornelas,UFPE,42,0,0,0,0,1,6,0,0,0,365
guilherme vilar,guilherme vilar,UFRPE,42,0,0,0,0,0.571429,16,0,0,0,366
cleyton v. c. magalhaes,cleyton v. c. magalhaes,UFPE,42,0,0,0,0,1,6,0,0,0,367
ronnie e. s. santos,ronnie e. s. santos,UFPE,42,0,0,0,0,1,6,0,0,0,368
leif singer,leif singer,University of Victoria,24,0,0,0,0,0.642857,18,0,0,0,369
muller miranda,muller miranda,Universidade Federal do Pará,24,0,0,0,0,0.9,9,0,0,0,370
christoph treude,christoph treude,Universidade Federal do Rio Grande do Norte,24,0,0,0,0,0.642857,18,0,0,0,371
renato ferreira,renato ferreira,Universidade Federal do Pará,24,0,0,0,0,0.9,9,0,0,0,372
geraldo c. junior,geraldo c. junior,UFRPE,42,0,0,0,0,1,10,0,0,0,373
edgar n. a. g. lima,edgar n. a. g. lima,UFRPE,42,0,0,0,0,1,10,0,0,0,374
gustavo freitas,gustavo freitas,UFRPE,42,0,0,0,0,1,10,0,0,0,375
sandra mattos,sandra mattos,CirCor,42,0,0,0,0,1,10,0,0,0,376
adja f. andrade,adja f. andrade,Universidade Federal do Rio Grande do Norte,43,0,0,0,0,0,0,0,0,0,377
paulo c. f. sousa,paulo c. f. sousa,Universidade Federal do Rio Grande do Norte,43,0,0,0,0,0,0,0,0,0,378
simone d. barbosa,simone d. barbosa,PUC-Rio,44,0,0,0,0,1,1,0,0,0,379
marcus f. c. alencar,marcus f. c. alencar,PUC-Rio,44,0,0,0,0,1,1,0,0,0,380
nayat sanchez-pi,nayat sanchez-pi,UERJ,45,0,0,0,0,1,1,0,0,0,381
daniel cinalli,daniel cinalli,UFF,45,0,0,0,0,1,1,0,0,0,382
luis marti,luis marti,PUC-Rio,45,0,0,0,0,1,1,0,0,0,383
flavio steffens,flavio steffens,PUCRS,24,0,0,0,0,1,10,0,0,0,384
david r. b. al-ani,david r. b. al-ani,University of California,24,0,0,0,0,1,10,0,0,0,385
renata wassermann,renata wassermann,Universidade de São Paulo,26,0,0,0,0,1,6,0,0,0,386
leliane n. barros,leliane n. barros,Universidade de São Paulo,26,0,0,0,0,1,6,0,0,0,387
marisol s. yucra,marisol s. yucra,Universidade de São Paulo,26,0,0,0,0,1,6,0,0,0,388
ricardo t. souza,ricardo t. souza,Universidade de São Paulo,26,0,0,0,0,1,6,0,0,0,389
diana c. a. c,diana c. a. c,UFRJ,37,0,0,0,0,0,0,0,0,0,390
daniel m. a. silva,daniel m. a. silva,UDESC,21,0,0,0,0,0.666667,2,0,0,0,391
igor s. wiese,igor s. wiese,UTFPR,26,0,0,0,0,0.666667,2,0,0,0,392
jose t. silva,jose t. silva,USP,26,0,0,0,0,0.666667,2,0,0,0,393
nazareno andrade,nazareno andrade,UFCG,46,0,0,0,0,1,3,0,0,0,394
rodrigo f. macedo,rodrigo f. macedo,UFCG,46,0,0,0,0,1,3,0,0,0,395
david c. maia,david c. maia,UFCG,46,0,0,0,0,1,3,0,0,0,396
ana l. gomes,ana l. gomes,UFCG,46,0,0,0,0,1,3,0,0,0,397
roberta l. gomes,roberta l. gomes,UFES,26,0,0,0,0,1,1,0,0,0,398
juan x. calles,juan x. calles,UFES,26,0,0,0,0,1,1,0,0,0,399
celso a. santos,celso a. santos,UFES,26,0,0,0,0,1,1,0,0,0,400
leonardo c. cruz,leonardo c. cruz,IME,47,0,0,0,0,0,0,0,0,0,401
jauvane c. oliveira,jauvane c. oliveira,LNCC,47,0,0,0,0,0,0,0,0,0,402
marcelo s. hounsell,marcelo s. hounsell,UDESC,21,0,0,0,0,1,1,0,0,0,403
claudinei dias,claudinei dias,UDESC,21,0,0,0,0,1,1,0,0,0,404
igor wiese,igor wiese,Universidade Tecnológica do Paraná,26,0,0,0,0,0,0,0,0,0,405
renata araujo,renata araujo,UNIRIO,18,0,0,0,0,0,0,0,0,0,406
lucas s. oliveira,lucas s. oliveira,Universidade Estadual do Sudoeste da Bahia,48,0,0,0,0,1,1,0,0,0,407
marcelo s. amaral,marcelo s. amaral,Universidade Estadual do Sudoeste da Bahia,48,0,0,0,0,1,1,0,0,0,408
israel s. aguiar,israel s. aguiar,Universidade Estadual do Sudoeste da Bahia,48,0,0,0,0,1,1,0,0,0,409
ingrhid theodoro,ingrhid theodoro,UFRJ,37,0,0,0,0,1,6,0,0,0,410
bernardo stearns,bernardo stearns,UFRJ,37,0,0,0,0,1,6,0,0,0,411
fabio rangel,fabio rangel,UFRJ,37,0,0,0,0,1,6,0,0,0,412
tiago c. franca,tiago c. franca,UFRJ,37,0,0,0,0,1,6,0,0,0,413
roberto a. bittencourt,roberto a. bittencourt,UEFS,49,0,0,0,0,1,1,0,0,0,414
douglas c. cerqueira,douglas c. cerqueira,UEFS,49,0,0,0,0,1,1,0,0,0,415
marilton m. cerqueira,marilton m. cerqueira,IFBAIANO,49,0,0,0,0,1,1,0,0,0,416
andrea teixeira,andrea teixeira,Universidade Federal do Amazonas,11,0,0,0,0,0,0,0,0,0,417
jessica castro,jessica castro,"Universidade Federal da
Paraíba",50,0,0,0,0,1,3,0,0,0,418
fernando matos,fernando matos,Universidade Federal da Paraíba,50,0,0,0,0,1,3,0,0,0,419
iury araujo,iury araujo,Universidade Federal da Paraíba,50,0,0,0,0,1,3,0,0,0,420
eudisley anjos,eudisley anjos,Universidade Federal da Paraíba,50,0,0,0,0,1,3,0,0,0,421
lucas v. ribeiro,lucas v. ribeiro,Universidade Tecnológica Federal do Paraná,26,0,0,0,0,1,3,0,0,0,422
paulo b. costa,paulo b. costa,Universidade Tecnológica Federal do Paraná,26,0,0,0,0,1,3,0,0,0,423
filipe r. cogo,filipe r. cogo,Universidade Tecnológica Federal do Paraná,26,0,0,0,0,1,3,0,0,0,424
leandro melo,leandro melo,Universidade Federal do Rio Grande do Norte,24,0,0,0,0,1,1,0,0,0,425
narallynne araujo,narallynne araujo,Universidade Federal do Rio Grande do Norte,24,0,0,0,0,1,1,0,0,0,426
ramon r. m. vieira,ramon r. m. vieira,UFRGS,26,0,0,0,0,1,1,0,0,0,427
edmar w. oliveira,edmar w. oliveira,UFJF,37,0,0,0,0,0,0,0,0,0,428
ivanete z. siple,ivanete z. siple,Universidade do Estado de Santa Catarina,21,0,0,0,0,0,0,0,0,0,429
ilmara m. m. ramos,ilmara m. m. ramos,Universidade Federal do Amazonas,51,0,0,0,0,1,1,0,0,0,430
david b. ramos,david b. ramos,Universidade Federal do Amazonas,51,0,0,0,0,1,1,0,0,0,431
elaine h. t. oliveira,elaine h. t. oliveira,Universidade Federal do Amazonas,51,0,0,0,0,1,1,0,0,0,432
