Id,Label,0,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,weighted degree,eigencentrality,degree,stat_inf_class
luiz p. s. alves,luiz p. s. alves,UTFPR,26,0,0,0,0,0,0,0,0,0,575
antonio ferreira,antonio ferreira,University of Lisboa,37,0,0,0,0,1,1,0,0,0,576
claudio sapateiro,claudio sapateiro,Polytechnic Institute of Setúbal,37,0,0,0,0,1,1,0,0,0,577
pedro antunes,pedro antunes,University of Lisboa,37,0,0,0,0,1,1,0,0,0,578
cintia r. c. silva,cintia r. c. silva,UFF,18,0,0,0,0,0,0,0,0,0,579
carlos lucena,carlos lucena,PUC-Rio,44,0,0,0,0,0,0,0,0,0,580
thiago r. almeida,thiago r. almeida,UNIFACS,13,0,0,0,0,0,0,0,0,0,581
gabriel balestrin,gabriel balestrin,UDESC,21,0,0,0,0,0,0,0,0,0,582
karen moreschi,karen moreschi,UTFPR,26,0,0,0,0,0.714286,15,0,0,0,583
cicero jupi,cicero jupi,UTFPR,26,0,0,0,0,0.714286,15,0,0,0,584
edilson f. costa,edilson f. costa,UTFPR,26,0,0,0,0,0.714286,15,0,0,0,585
fabio baia,fabio baia,UTFPR,26,0,0,0,0,0.714286,15,0,0,0,586
jacques wainer,jacques wainer,UNICAMP,92,0,0,0,0,1,1,0,0,0,587
daniel c. biscalchin,daniel c. biscalchin,UNICAMP,92,0,0,0,0,0,0,0,0,0,588
cristiano maciel,cristiano maciel,UFMT,18,0,0,0,0,1,1,0,0,0,589
cleyton slaviero,cleyton slaviero,UFF,18,0,0,0,0,1,1,0,0,0,590
rafael ferreira,rafael ferreira,UFPE,68,0,0,0,0,1,10,0,0,0,591
patrick brito,patrick brito,UFAL,68,0,0,0,0,1,10,0,0,0,592
evandro costa,evandro costa,UFAL,68,0,0,0,0,1,10,0,0,0,593
rinaldo lima,rinaldo lima,UFPE,68,0,0,0,0,1,10,0,0,0,594
jean melo,jean melo,UFAL,68,0,0,0,0,1,10,0,0,0,595
fred freitas,fred freitas,UFPE,68,0,0,0,0,1,10,0,0,0,596
joao b. s. oliveira,joao b. s. oliveira,PUC-RS,69,0,0,0,0,0,0,0,0,0,597
angelina ziesemer,angelina ziesemer,PUC-RS,69,0,0,0,0,0,0,0,0,0,598
adabriand furtado,adabriand furtado,UFCG,46,0,0,0,0,0,0,0,0,0,599
mariana maia,mariana maia,UFPB,70,0,0,0,0,1,1,0,0,0,600
stephany vitorio,stephany vitorio,UFPB,70,0,0,0,0,1,1,0,0,0,601
rodrigo andrade,rodrigo andrade,UFF,18,0,0,0,0,1,1,0,0,0,602
jivago medeiros,jivago medeiros,UFF,18,0,0,0,0,1,1,0,0,0,603
douglas m. silva,douglas m. silva,UNIRIO,44,0,0,0,0,1,1,0,0,0,604
jano m. souza,jano m. souza,UFRJ,10,0,0,0,0,0.490909,27,0,0,0,605
guilherme fogaca,guilherme fogaca,UFRJ,10,0,0,0,0,1,6,0,0,0,606
diego s. souza,diego s. souza,UFRJ,10,0,0,0,0,1,6,0,0,0,607
pedro c. silveira,pedro c. silveira,UFRJ,10,0,0,0,0,1,6,0,0,0,608
marcos barbato,marcos barbato,Be! Interactive,44,0,0,0,0,0.4,4,0,0,0,609
heloisa moura,heloisa moura,PUC-Rio,44,0,0,0,0,0.4,4,0,0,0,610
rafael m. alves,rafael m. alves,UFRJ,71,0,0,0,0,0,0,0,0,0,611
bruno c. c. costa,bruno c. c. costa,UFRJ,71,0,0,0,0,0,0,0,0,0,612
geraldo z. silva,geraldo z. silva,UFRJ,10,0,0,0,0,1,21,0,0,0,613
eduardo c. dalcin,eduardo c. dalcin,Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,10,0,0,0,0,1,21,0,0,0,614
djalma a. lima,djalma a. lima,Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,10,0,0,0,0,1,21,0,0,0,615
luis a. e. silva,luis a. e. silva,Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,10,0,0,0,0,1,21,0,0,0,616
marco a. vaz,marco a. vaz,UFRJ,10,0,0,0,0,1,21,0,0,0,617
filipe b. carmo,filipe b. carmo,UFRJ,10,0,0,0,0,1,21,0,0,0,618
kleto m. zan,kleto m. zan,Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,10,0,0,0,0,1,21,0,0,0,619
isabel sa,isabel sa,University of Lisbon,72,0,0,0,0,1,21,0,0,0,620
nelson baloian,nelson baloian,Universidad de Chile,72,0,0,0,0,1,21,0,0,0,621
marco sa,marco sa,Yahoo! Research,72,0,0,0,0,1,21,0,0,0,622
joao faria,joao faria,University of Lisbon,72,0,0,0,0,1,21,0,0,0,623
luis duarte,luis duarte,University of Lisbon,72,0,0,0,0,1,21,0,0,0,624
gustavo zurita,gustavo zurita,Universidad de Chile,72,0,0,0,0,1,21,0,0,0,625
luis carrico,luis carrico,University of Lisbon,72,0,0,0,0,1,21,0,0,0,626
ricardo pereira,ricardo pereira,University of Lisbon,72,0,0,0,0,1,21,0,0,0,627
claudia l. motta,claudia l. motta,UFRJ,14,0,0,0,0,1,3,0,0,0,628
carlo e. oliveira,carlo e. oliveira,UFRJ,14,0,0,0,0,1,3,0,0,0,629
davi c. m. nascimento,davi c. m. nascimento,UNIFACS,13,0,0,0,0,0,0,0,0,0,630
edith z. s. mamani,edith z. s. mamani,USP,26,0,0,0,0,0,0,0,0,0,631
renata s. s. guizzardi,renata s. s. guizzardi,UFES,26,0,0,0,0,1,1,0,0,0,632
eduardo silva,eduardo silva,UFES,26,0,0,0,0,1,1,0,0,0,633
samuel apolonio,samuel apolonio,UFRJ,37,0,0,0,0,0,0,0,0,0,634
marcelo p. guimaraes,marcelo p. guimaraes,IFSP,73,0,0,0,0,1,1,0,0,0,635
adriano rivolli,adriano rivolli,USP,73,0,0,0,0,1,1,0,0,0,636
dilvan a. moreira,dilvan a. moreira,USP,73,0,0,0,0,1,1,0,0,0,637
elder cirilo,elder cirilo,PUC-Rio,44,0,0,0,0,1,6,0,0,0,638
carlos j. p. lucena,carlos j. p. lucena,PUC-Rio,44,0,0,0,0,1,6,0,0,0,489
alberto c. jr.,alberto c. jr.,UFAM,44,0,0,0,0,1,6,0,0,0,639
jean m. r. costa,jean m. r. costa,UFPA,24,0,0,0,0,1,1,0,0,0,640
marinalva d. soares,marinalva d. soares,INPE,74,0,0,0,0,1,3,0,0,0,641
luciano dutra,luciano dutra,INPE,74,0,0,0,0,1,3,0,0,0,642
rafael santos,rafael santos,INPE,74,0,0,0,0,1,3,0,0,0,643
nandamudi vijaykumar,nandamudi vijaykumar,INPE,74,0,0,0,0,1,3,0,0,0,644
bruno merlin,bruno merlin,UFPA,24,0,0,0,0,0,0,0,0,0,645
celso hiirata,celso hiirata,ITA,24,0,0,0,0,0,0,0,0,0,646
italo ribeiro,italo ribeiro,Faculdade Ruy Barbosa,13,0,0,0,0,0.7,7,0,0,0,647
bruno c. silva,bruno c. silva,UFBA,13,0,0,0,0,0.7,7,0,0,0,648
renato p. conceicao,renato p. conceicao,Faculdade Ruy Barbosa,13,0,0,0,0,0.7,7,0,0,0,649
sean siqueira,sean siqueira,UNIRIO,44,0,0,0,0,1,1,0,0,0,650
aline m. marques,aline m. marques,UNIRIO,44,0,0,0,0,1,1,0,0,0,651
a.p.c. silva,a.p.c. silva,ITA,75,0,0,0,0,1,6,0,0,0,652
c.t. fernandes,c.t. fernandes,ITA,75,0,0,0,0,1,6,0,0,0,653
c.d.m. berkenbrock,c.d.m. berkenbrock,UDESC,75,0,0,0,0,1,6,0,0,0,654
c.m. hirata,c.m. hirata,ITA,75,0,0,0,0,1,6,0,0,0,655
m.c. pichiliani,m.c. pichiliani,ITA,75,0,0,0,0,1,6,0,0,0,656
ricardo r. nunes,ricardo r. nunes,UTAD,44,0,0,0,0,1,3,0,0,0,657
daniel r. figueiredo,daniel r. figueiredo,UFRJ,76,0,0,0,0,0,0,0,0,0,658
vinicius p. m. freire,vinicius p. m. freire,UFRJ,76,0,0,0,0,0,0,0,0,0,659
marcio p. lima,marcio p. lima,UNIFACS,13,0,0,0,0,1,1,0,0,0,660
benedito t. dantas,benedito t. dantas,CIMATEC,13,0,0,0,0,1,1,0,0,0,661
victor j. salles,victor j. salles,UFMG,40,0,0,0,0,1,1,0,0,0,662
rodrigo f. silva,rodrigo f. silva,UFMG,40,0,0,0,0,1,1,0,0,0,663
samantha vrabl,samantha vrabl,UFRJ,37,0,0,0,0,1,1,0,0,0,664
clovis t. fernandes,clovis t. fernandes,ITA,21,0,0,0,0,1,1,0,0,0,665
eveline j. v. sa,eveline j. v. sa,IFMA,21,0,0,0,0,1,1,0,0,0,666
jeane s. f. teixeira,jeane s. f. teixeira,IFMA,21,0,0,0,0,1,1,0,0,0,667
g. robichez,g. robichez,PUC-Rio,44,0,0,0,0,1,3,0,0,0,668
k. vega,k. vega,PUC-Rio,44,0,0,0,0,1,3,0,0,0,669
a. pereira,a. pereira,PUC-Rio,44,0,0,0,0,1,3,0,0,0,670
denise p. n. machado,denise p. n. machado,FURB,37,0,0,0,0,1,3,0,0,0,671
rafael e. l. escalfoni,rafael e. l. escalfoni,UFRJ,37,0,0,0,0,1,3,0,0,0,672
rafael a. ribeiro,rafael a. ribeiro,UFPE,54,0,0,0,0,0.333333,1,0,0,0,673
tiago n. veloso,tiago n. veloso,UNIRIO,37,0,0,0,0,1,1,0,0,0,674
licia c. nascimento,licia c. nascimento,UNIRIO,37,0,0,0,0,1,1,0,0,0,675
andre f. e. ferreira,andre f. e. ferreira,UFRJ,77,0,0,0,0,1,6,0,0,0,676
marcio r. teixeira,marcio r. teixeira,UFRJ,77,0,0,0,0,1,6,0,0,0,677
carlos e. f. azevedo,carlos e. f. azevedo,UFRJ,77,0,0,0,0,1,6,0,0,0,678
angela m. n. mendonca,angela m. n. mendonca,UFRJ,77,0,0,0,0,1,6,0,0,0,679
george a. f. gomes,george a. f. gomes,UFRJ,77,0,0,0,0,1,6,0,0,0,680
alan k. o. moraes,alan k. o. moraes,UFPB,54,0,0,0,0,1,6,0,0,0,681
yuri a. m. barbosa,yuri a. m. barbosa,UFPE,54,0,0,0,0,1,6,0,0,0,682
cleyton c. trindade,cleyton c. trindade,UFPE,54,0,0,0,0,1,6,0,0,0,683
jones o. albuquerque,jones o. albuquerque,UFRPE,54,0,0,0,0,1,6,0,0,0,684
bruno n. machado,bruno n. machado,UFES,78,0,0,0,0,1,1,0,0,0,685
ricardo a. falbo,ricardo a. falbo,UFES,78,0,0,0,0,1,1,0,0,0,686
lucas a. s. merlo,lucas a. s. merlo,UFES,26,0,0,0,0,0,0,0,0,0,687
antonio a. f. loureiro,antonio a. f. loureiro,UEM,79,0,0,0,0,1,1,0,0,0,688
linnyer b. ruiz,linnyer b. ruiz,UFV,79,0,0,0,0,1,1,0,0,0,689
thais r. m. b. silva,thais r. m. b. silva,UFMG,79,0,0,0,0,1,1,0,0,0,690
willian c. donega,willian c. donega,UEM,62,0,0,0,0,0.666667,2,0,0,0,691
sergio c. c. s. pinto,sergio c. c. s. pinto,Unisinos,80,0,0,0,0,1,3,0,0,0,692
cassia nino,cassia nino,Unisinos,80,0,0,0,0,1,3,0,0,0,693
debora barbosa,debora barbosa,Centro Universitário La Salle,80,0,0,0,0,1,3,0,0,0,694
jorge barbosa,jorge barbosa,Unisinos,80,0,0,0,0,1,3,0,0,0,695
viviane david,viviane david,Groupware@LES,44,0,0,0,0,0.4,4,0,0,0,696
andreia pereira,andreia pereira,PUC-Rio,44,0,0,0,0,0.4,4,0,0,0,697
bernardo a. m. mattos,bernardo a. m. mattos,UFMG,40,0,0,0,0,1,1,0,0,0,698
raquel l. santos,raquel l. santos,UFMG,40,0,0,0,0,1,1,0,0,0,699
carina f. alves,carina f. alves,UFPE,81,0,0,0,0,1,1,0,0,0,700
geber l. ramalho,geber l. ramalho,UFPE,81,0,0,0,0,1,1,0,0,0,701
raphael l. b. barros,raphael l. b. barros,UFPE,81,0,0,0,0,1,1,0,0,0,702
pedro j. s. carneiro,pedro j. s. carneiro,UFPE,54,0,0,0,0,0,0,0,0,0,703
lucas r. b. schmitz,lucas r. b. schmitz,CESAR,54,0,0,0,0,0.666667,4,0,0,0,704
eduardo r. pinto,eduardo r. pinto,UFPE,54,0,0,0,0,0.666667,4,0,0,0,705
lucas a. s. ferreira,lucas a. s. ferreira,Faculdade Ruy Barbosa,13,0,0,0,0,0.833333,5,0,0,0,706
lucas m. s. jesus,lucas m. s. jesus,Faculdade Ruy Barbosa,13,0,0,0,0,0.833333,5,0,0,0,707
apoena j. n. avelar,apoena j. n. avelar,Faculdade Ruy Barbosa,13,0,0,0,0,0.833333,5,0,0,0,708
bruno campagnolo,bruno campagnolo,TECPAR,91,0,0,0,0,1,10,0,0,0,709
ademir r. freddo,ademir r. freddo,UTFPR,91,0,0,0,0,1,10,0,0,0,710
milton p. ramos,milton p. ramos,TECPAR,91,0,0,0,0,1,10,0,0,0,711
emerson c. paraiso,emerson c. paraiso,PUCPR,91,0,0,0,0,1,10,0,0,0,712
gilson y. sato,gilson y. sato,UTFPR,91,0,0,0,0,1,10,0,0,0,713
gustavo carvalho,gustavo carvalho,PUC-Rio,44,0,0,0,0,0,0,0,0,0,714
neno albernaz,neno albernaz,UFRJ,37,0,0,0,0,1,3,0,0,0,715
alessandro jatoba,alessandro jatoba,ENSP,37,0,0,0,0,1,3,0,0,0,716
marcelo g. malcher,marcelo g. malcher,PUC-Rio,64,0,0,0,0,0,0,0,0,0,717
ricardo costa,ricardo costa,UFPE,82,0,0,0,0,1,3,0,0,0,718
silvio meira,silvio meira,UFPE,82,0,0,0,0,1,3,0,0,0,719
robson oliveira,robson oliveira,UFPE,82,0,0,0,0,1,3,0,0,0,720
edeilson silva,edeilson silva,UFPE,82,0,0,0,0,1,3,0,0,0,721
eduardo r. monteiro,eduardo r. monteiro,UFES,26,0,0,0,0,1,1,0,0,0,722
marco a. balieiro,marco a. balieiro,UFPA,24,0,0,0,0,1,1,0,0,0,723
samuel f. s. junior,samuel f. s. junior,UFPA,24,0,0,0,0,1,1,0,0,0,724
diego l. bastos,diego l. bastos,Faculdade Ruy Barbosa,13,0,0,0,0,0.666667,2,0,0,0,725
guilherme d. g. toledo,guilherme d. g. toledo,Faculdade Ruy Barbosa,13,0,0,0,0,0.666667,2,0,0,0,726
carlos a. s. franco,carlos a. s. franco,UFRJ,37,0,0,0,0,0,0,0,0,0,727
marcio g. p. rosa,marcio g. p. rosa,Faculdade Ruy Barbosa,37,0,0,0,0,1,3,0,0,0,728
daniela godoy,daniela godoy,UNICEN,83,0,0,0,0,0,0,0,0,0,729
analia amandi,analia amandi,UNICEN,83,0,0,0,0,0,0,0,0,0,730
alline lemos,alline lemos,UFPA,24,0,0,0,0,0,0,0,0,0,731
sionise gomes,sionise gomes,UFAM,11,0,0,0,0,0.666667,2,0,0,0,732
alberto n. c. jr,alberto n. c. jr,UFAM,11,0,0,0,0,0.666667,2,0,0,0,733
alessandra ponte,alessandra ponte,UFRJ,37,0,0,0,0,1,1,0,0,0,734
claudia lage,claudia lage,UFRJ,37,0,0,0,0,1,1,0,0,0,735
fabio fabris,fabio fabris,UFES,84,0,0,0,0,1,3,0,0,0,736
raphael o. santos,raphael o. santos,UFES,84,0,0,0,0,1,3,0,0,0,737
cesar marcondes,cesar marcondes,UFSCAR,84,0,0,0,0,1,3,0,0,0,738
magnos martinello,magnos martinello,UFES,84,0,0,0,0,1,3,0,0,0,739
joao c. goncalves,joao c. goncalves,UNIRIO,44,0,0,0,0,1,3,0,0,0,740
giovana b. r. linhares,giovana b. r. linhares,UFRJ,37,0,0,0,0,1,1,0,0,0,741
luis t. o. camargo,luis t. o. camargo,UNIFAL,23,0,0,0,0,1,1,0,0,0,742
danilo b. lima,danilo b. lima,UNIFAL,23,0,0,0,0,1,1,0,0,0,743
rafael m. feitosa,rafael m. feitosa,UFPA,24,0,0,0,0,0,0,0,0,0,744
jose v. s. filho,jose v. s. filho,UNIVASF,26,0,0,0,0,1,3,0,0,0,745
aloysio c. p. pedroza,aloysio c. p. pedroza,UFRJ,26,0,0,0,0,1,3,0,0,0,746
jean-pierre courtiat,jean-pierre courtiat,LAAS,26,0,0,0,0,1,3,0,0,0,747
diogo krejci,diogo krejci,UFRJ,10,0,0,0,0,0,0,0,0,0,748
lucas l. provensi,lucas l. provensi,UFG,85,0,0,0,0,1,1,0,0,0,749
vagner sacramento,vagner sacramento,UFG,85,0,0,0,0,1,1,0,0,0,750
fabio m. costa,fabio m. costa,UFG,85,0,0,0,0,1,1,0,0,0,751
ricardo l. menezes,ricardo l. menezes,Faculdade Ruy Barbosa,13,0,0,0,0,0.833333,5,0,0,0,752
ana p. a. santos,ana p. a. santos,Faculdade Ruy Barbosa,13,0,0,0,0,0.833333,5,0,0,0,753
gustavo m. neto,gustavo m. neto,Faculdade Ruy Barbosa,13,0,0,0,0,0.833333,5,0,0,0,754
victorio a. carvalho,victorio a. carvalho,UFES,78,0,0,0,0,0,0,0,0,0,755
carlos h. q. forster,carlos h. q. forster,ITA,21,0,0,0,0,0.666667,2,0,0,0,756
fabricio s. soares,fabricio s. soares,ITA,21,0,0,0,0,0.666667,2,0,0,0,757
jaime s. sichman,jaime s. sichman,USP,86,0,0,0,0,1,1,0,0,0,758
helder coelho,helder coelho,Universidade de Lisboa,86,0,0,0,0,1,1,0,0,0,758
diana f. adamatti,diana f. adamatti,USP,86,0,0,0,0,1,1,0,0,0,758
marta c. rosatelli,marta c. rosatelli,Unisantos,95,0,0,0,0,1,1,0,0,0,759
clever r. g. farias,clever r. g. farias,USP,95,0,0,0,0,1,1,0,0,0,759
carlos e. goncalves,carlos e. goncalves,Unisantos,95,0,0,0,0,1,1,0,0,0,759
vanessa t. nunes,vanessa t. nunes,UFRJ,37,0,0,0,0,0,0,0,0,0,312
roberta lima-gomes,roberta lima-gomes,UFES,87,0,0,0,0,1,3,0,0,0,760
roberto willrich,roberto willrich,UFSC,87,0,0,0,0,1,3,0,0,0,760
guillermo j. hoyos-rivera,guillermo j. hoyos-rivera,Universidad Veracruzana,87,0,0,0,0,1,3,0,0,0,760
christopher v. lima,christopher v. lima,UFSC,87,0,0,0,0,1,3,0,0,0,760
claudia barsottini,claudia barsottini,Unifesp,92,0,0,0,0,1,1,0,0,0,587
cleo billa,cleo billa,Unicamp,92,0,0,0,0,1,1,0,0,0,587
marco a. v. m. vasconcelos,marco a. v. m. vasconcelos,UFPB,88,0,0,0,0,1,21,0,0,0,761
fernando l. almeida,fernando l. almeida,EPUSP,88,0,0,0,0,1,21,0,0,0,761
marcos f. jardini,marcos f. jardini,EPUSP,88,0,0,0,0,1,21,0,0,0,761
graca bressan,graca bressan,EPUSP,88,0,0,0,0,1,21,0,0,0,761
guido l. s. filho,guido l. s. filho,UFPB,88,0,0,0,0,1,21,0,0,0,761
luiz g. p. alves,luiz g. p. alves,EPUSP,88,0,0,0,0,1,21,0,0,0,761
regina m. silveira,regina m. silveira,EPUSP,88,0,0,0,0,1,21,0,0,0,761
raoni kulesza,raoni kulesza,EPUSP,88,0,0,0,0,1,21,0,0,0,761
yuri morais,yuri morais,UFPB,89,0,0,0,0,1,15,0,0,0,762
sebastiao r. jr,sebastiao r. jr,UFPB,89,0,0,0,0,1,15,0,0,0,762
joao p. f. oliveira,joao p. f. oliveira,UFPB,89,0,0,0,0,1,15,0,0,0,762
adriana e. oliveira,adriana e. oliveira,UFPB,89,0,0,0,0,1,15,0,0,0,762
gledson elias,gledson elias,UFPB,89,0,0,0,0,1,15,0,0,0,762
amilcar soares,amilcar soares,UFPB,89,0,0,0,0,1,15,0,0,0,762
talles brito,talles brito,UFPB,89,0,0,0,0,1,15,0,0,0,762
f. s. costa,f. s. costa,INPA,90,0,0,0,0,1,3,0,0,0,763
j. l. c. santos,j. l. c. santos,INPA,90,0,0,0,0,1,3,0,0,0,763
j. m. f. maia,j. m. f. maia,INPA,90,0,0,0,0,1,3,0,0,0,763
k. j. a. serique,k. j. a. serique,INPA,90,0,0,0,0,1,3,0,0,0,763
weverton cordeiro,weverton cordeiro,UFPA,24,0,0,0,0,1,3,0,0,0,764
rafael esteves,rafael esteves,UFPA,24,0,0,0,0,1,3,0,0,0,765
breno franca,breno franca,UFPA,24,0,0,0,0,1,3,0,0,0,766
renata g. machado,renata g. machado,UFRJ,37,0,0,0,0,1,1,0,0,0,767
jose o. gomes,jose o. gomes,UFRJ,37,0,0,0,0,1,1,0,0,0,768
patricia a. tedesco,patricia a. tedesco,UFPE,54,0,0,0,0,1,1,0,0,0,769
sandra a. siebra,sandra a. siebra,UFPE,54,0,0,0,0,1,1,0,0,0,770
helo petry,helo petry,UFPE,54,0,0,0,0,1,3,0,0,0,771
patricia tedesco,patricia tedesco,UFPE,54,0,0,0,0,1,3,0,0,0,772
fabricio enembreck,fabricio enembreck,PUC-PR,91,0,0,0,0,1,1,0,0,0,773
eliane m. bortoli,eliane m. bortoli,UTFPR,91,0,0,0,0,1,1,0,0,0,774
guillermo j. h. rivera,guillermo j. h. rivera,Universidade Veracruzana,26,0,0,0,0,1,1,0,0,0,775
jean p. courtiat,jean p. courtiat,LAAS,26,0,0,0,0,1,1,0,0,0,776
fernando prata,fernando prata,UFRJ,44,0,0,0,0,0.666667,2,0,0,0,777
thalita moraes,thalita moraes,UFRJ,44,0,0,0,0,0.666667,2,0,0,0,778
guilherme h. travassos,guilherme h. travassos,UFRJ,37,0,0,0,0,1,1,0,0,0,779
marcos kalinowski,marcos kalinowski,UFRJ,37,0,0,0,0,1,1,0,0,0,780
fabio bezerra,fabio bezerra,UNICAMP,92,0,0,0,0,0,0,0,0,0,781
autran macedo,autran macedo,UFU,93,0,0,0,0,1,3,0,0,0,782
rogerio s. silva,rogerio s. silva,UFU,93,0,0,0,0,1,3,0,0,0,783
joao n. souza,joao n. souza,UFU,93,0,0,0,0,1,3,0,0,0,784
ilmerio r. silva,ilmerio r. silva,UFU,93,0,0,0,0,1,3,0,0,0,785
manoel g. m. neto,manoel g. m. neto,UNIFACS,94,0,0,0,0,0,0,0,0,0,786
helio o. q. junior,helio o. q. junior,SEFAZ,94,0,0,0,0,0,0,0,0,0,787
eduardo t. carlos,eduardo t. carlos,PUC-Rio,44,0,0,0,0,0,0,0,0,0,788
hermes senger,hermes senger,UNISANTOS,95,0,0,0,0,1,1,0,0,0,789
rogerio a. rondini,rogerio a. rondini,UNISANTOS,95,0,0,0,0,1,1,0,0,0,790
glauco todesco,glauco todesco,UNISO,96,0,0,0,0,0,0,0,0,0,791
marcelo k. zuffo,marcelo k. zuffo,USP,96,0,0,0,0,0,0,0,0,0,792
